State,Date,New Cases,7-Day Moving Avg,New COVID-19 Hospital Admissions,Historic Cases
United States,Feb 11 2020,9,10,null,0
United States,Feb 10 2020,9,9,null,0
United States,Feb 9 2020,33,12,null,0
United States,Feb 8 2020,8,7,null,0
United States,Feb 7 2020,5,7,null,0
United States,Feb 6 2020,2,6,null,0
United States,Feb 5 2020,5,6,null,0
United States,Feb 4 2020,7,5,null,0
United States,Feb 3 2020,26,4,null,476
United States,Feb 2 2020,0,1,null,0
United States,Feb 1 2020,4,1,null,0
United States,Jan 31 2020,3,1,null,0
United States,Jan 30 2020,0,0,null,0
United States,Jan 29 2020,0,0,null,0
United States,Jan 28 2020,1,1,null,0
United States,Jan 27 2020,0,1,null,0
United States,Jan 26 2020,3,1,null,0
United States,Jan 25 2020,0,1,null,0
United States,Jan 24 2020,1,1,null,0
United States,Jan 23 2020,1,1,null,0
